work,location,time,miles
117 Seber Road Hackettstown NJ,Beach Haven,Crash on Garden State Pkwy causing 12-min delay,141 miles
121 Chanlon Road New Providence NJ,Beach Haven West,1 h 33 min,85.9 miles
117 Seber Road Hackettstown NJ,Beach Haven West,Crash on Garden State Pkwy causing 11-min delay,131 miles
121 Chanlon Road New Providence NJ,Beachwood,1 h 15 min,66.1 miles
117 Seber Road Hackettstown NJ,Beachwood,Crash on Garden State Pkwy causing 11-min delay,111 miles
121 Chanlon Road New Providence NJ,Beattystown,52 min,39.3 miles
117 Seber Road Hackettstown NJ,Beattystown,12 min,5.2 miles
121 Chanlon Road New Providence NJ,Beckett,1 h 54 min,111 miles
117 Seber Road Hackettstown NJ,Beckett,2 h 29 min,119 miles
121 Chanlon Road New Providence NJ,Belford,Crash on Garden State Pkwy causing 11-min delay,43.2 miles
117 Seber Road Hackettstown NJ,Belford,Crash on Garden State Pkwy causing 11-min delay,79.6 miles
121 Chanlon Road New Providence NJ,Belle Mead,49 min,26.5 miles
117 Seber Road Hackettstown NJ,Belle Mead,1 h 5 min,36.7 miles
121 Chanlon Road New Providence NJ,Belleplain,2 h 35 min,145 miles
117 Seber Road Hackettstown NJ,Belleplain,2 h 54 min,154 miles
121 Chanlon Road New Providence NJ,Bellmawr,1 h 35 min,93.1 miles
117 Seber Road Hackettstown NJ,Bellmawr,2 h 9 min,89.3 miles
121 Chanlon Road New Providence NJ,Belmar,1 h 12 min,55.1 miles
117 Seber Road Hackettstown NJ,Belmar,Crash on Garden State Pkwy causing 11-min delay,97.1 miles
121 Chanlon Road New Providence NJ,Belvidere,1 h 9 min,57.4 miles
117 Seber Road Hackettstown NJ,Belvidere,32 min,23.4 miles
121 Chanlon Road New Providence NJ,Bergenfield,54 min,35.7 miles
117 Seber Road Hackettstown NJ,Bergenfield,1 h 30 min,68.4 miles
121 Chanlon Road New Providence NJ,Berlin,1 h 49 min,94.1 miles
117 Seber Road Hackettstown NJ,Berlin,2 h 19 min,96.0 miles
121 Chanlon Road New Providence NJ,Bernardsville,25 min,12.1 miles
117 Seber Road Hackettstown NJ,Bernardsville,45 min,25.3 miles
121 Chanlon Road New Providence NJ,Beverly,1 h 27 min,67.9 miles
117 Seber Road Hackettstown NJ,Beverly,1 h 50 min,85.1 miles
121 Chanlon Road New Providence NJ,Blackwells Mills,44 min,30.3 miles
117 Seber Road Hackettstown NJ,Blackwells Mills,1 h 3 min,37.6 miles
121 Chanlon Road New Providence NJ,Blackwood,1 h 46 min,96.4 miles
117 Seber Road Hackettstown NJ,Blackwood,2 h 15 min,94.2 miles
121 Chanlon Road New Providence NJ,Blairstown,1 h 11 min,46.8 miles
117 Seber Road Hackettstown NJ,Blairstown,31 min,17.8 miles
121 Chanlon Road New Providence NJ,Blawenburg,1 h 2 min,44.2 miles
117 Seber Road Hackettstown NJ,Blawenburg,1 h 13 min,42.8 miles
121 Chanlon Road New Providence NJ,Bloomingdale,48 min,31.6 miles
117 Seber Road Hackettstown NJ,Bloomingdale,57 min,43.8 miles
121 Chanlon Road New Providence NJ,Bloomsbury,41 min,40.0 miles
117 Seber Road Hackettstown NJ,Bloomsbury,40 min,24.1 miles
121 Chanlon Road New Providence NJ,Bogota,42 min,34.1 miles
117 Seber Road Hackettstown NJ,Bogota,1 h 24 min,68.8 miles
121 Chanlon Road New Providence NJ,Boonton,32 min,21.8 miles
117 Seber Road Hackettstown NJ,Boonton,34 min,32.1 miles
121 Chanlon Road New Providence NJ,Bordentown,1 h 12 min,57.0 miles
117 Seber Road Hackettstown NJ,Bordentown,1 h 40 min,68.5 miles
121 Chanlon Road New Providence NJ,Bound Brook,26 min,15.5 miles
117 Seber Road Hackettstown NJ,Bound Brook,46 min,31.8 miles
121 Chanlon Road New Providence NJ,Bradley Beach,1 h 12 min,51.3 miles
117 Seber Road Hackettstown NJ,Bradley Beach,1 h 40 min,93.2 miles
121 Chanlon Road New Providence NJ,Bradley Gardens,38 min,20.4 miles
117 Seber Road Hackettstown NJ,Bradley Gardens,56 min,30.7 miles
121 Chanlon Road New Providence NJ,Brainards,1 h 20 min,65.2 miles
117 Seber Road Hackettstown NJ,Brainards,43 min,31.2 miles
121 Chanlon Road New Providence NJ,Branchville,1 h 24 min,57.9 miles
117 Seber Road Hackettstown NJ,Branchville,44 min,27.8 miles
121 Chanlon Road New Providence NJ,Brass Castle,57 min,50.5 miles
117 Seber Road Hackettstown NJ,Brass Castle,28 min,17.9 miles
121 Chanlon Road New Providence NJ,Bridgeton,2 h 23 min,131 miles
117 Seber Road Hackettstown NJ,Bridgeton,3 h 12 min,144 miles
121 Chanlon Road New Providence NJ,Bridgeville,1 h 4 min,54.9 miles
117 Seber Road Hackettstown NJ,Bridgeville,27 min,14.8 miles
121 Chanlon Road New Providence NJ,Brielle,1 h 13 min,55.6 miles
117 Seber Road Hackettstown NJ,Brielle,1 h 44 min,97.5 miles
121 Chanlon Road New Providence NJ,Brigantine,2 h 55 min,148 miles
117 Seber Road Hackettstown NJ,Brigantine,3 h 4 min,146 miles
121 Chanlon Road New Providence NJ,Broadway,1 h 17 min,55.1 miles
117 Seber Road Hackettstown NJ,Broadway,31 min,16.7 miles
121 Chanlon Road New Providence NJ,Brookdale,57 min,38.2 miles
117 Seber Road Hackettstown NJ,Brookdale,1 h 25 min,80.1 miles
121 Chanlon Road New Providence NJ,Brookfield,1 h 9 min,57.5 miles
117 Seber Road Hackettstown NJ,Brookfield,32 min,18.0 miles
121 Chanlon Road New Providence NJ,Brooklawn,1 h 42 min,94.7 miles
117 Seber Road Hackettstown NJ,Brooklawn,2 h 15 min,130 miles
121 Chanlon Road New Providence NJ,Browns Mills,1 h 33 min,71.1 miles
117 Seber Road Hackettstown NJ,Browns Mills,2 h 1 min,82.7 miles
121 Chanlon Road New Providence NJ,Brownville,50 min,29.1 miles
117 Seber Road Hackettstown NJ,Brownville,1 h 18 min,71.0 miles
121 Chanlon Road New Providence NJ,Budd Lake,50 min,38.4 miles
117 Seber Road Hackettstown NJ,Budd Lake,18 min,11.1 miles
121 Chanlon Road New Providence NJ,Buena,2 h 13 min,111 miles
117 Seber Road Hackettstown NJ,Buena,2 h 48 min,146 miles
121 Chanlon Road New Providence NJ,Burleigh,2 h 16 min,149 miles
117 Seber Road Hackettstown NJ,Burleigh,3 h 22 min,164 miles
121 Chanlon Road New Providence NJ,Burlington,1 h 19 min,78.1 miles
117 Seber Road Hackettstown NJ,Burlington,1 h 49 min,82.5 miles
121 Chanlon Road New Providence NJ,Butler,51 min,43.7 miles
117 Seber Road Hackettstown NJ,Butler,53 min,40.4 miles
121 Chanlon Road New Providence NJ,Buttzville,1 h 6 min,55.6 miles
117 Seber Road Hackettstown NJ,Buttzville,26 min,13.7 miles
121 Chanlon Road New Providence NJ,Byram Center,56 min,31.8 miles
117 Seber Road Hackettstown NJ,Byram Center,20 min,14.5 miles
121 Chanlon Road New Providence NJ,Caldwell,36 min,14.5 miles
117 Seber Road Hackettstown NJ,Caldwell,1 h 14 min,49.3 miles
121 Chanlon Road New Providence NJ,Califon,41 min,30.6 miles
117 Seber Road Hackettstown NJ,Califon,29 min,13.7 miles
121 Chanlon Road New Providence NJ,Camden,1 h 51 min,98.4 miles
117 Seber Road Hackettstown NJ,Camden,2 h 39 min,110 miles
121 Chanlon Road New Providence NJ,Cape May,3 h 8 min,185 miles
117 Seber Road Hackettstown NJ,Cape May,3 h 30 min,172 miles
121 Chanlon Road New Providence NJ,Cape May Court House,2 h 11 min,145 miles
117 Seber Road Hackettstown NJ,Cape May Court House,3 h 17 min,152 miles
121 Chanlon Road New Providence NJ,Cape May Point,3 h 26 min,177 miles
117 Seber Road Hackettstown NJ,Cape May Point,3 h 38 min,176 miles
121 Chanlon Road New Providence NJ,Carlstadt,41 min,29.6 miles
117 Seber Road Hackettstown NJ,Carlstadt,1 h 27 min,63.6 miles
121 Chanlon Road New Providence NJ,Carneys Point,1 h 59 min,119 miles
117 Seber Road Hackettstown NJ,Carneys Point,2 h 44 min,124 miles
121 Chanlon Road New Providence NJ,Carteret,40 min,31.7 miles
117 Seber Road Hackettstown NJ,Carteret,1 h 16 min,54.0 miles
121 Chanlon Road New Providence NJ,Cedar Glen Lakes,1 h 35 min,80.2 miles
117 Seber Road Hackettstown NJ,Cedar Glen Lakes,2 h 13 min,116 miles
121 Chanlon Road New Providence NJ,Cedar Glen West,1 h 31 min,67.1 miles
117 Seber Road Hackettstown NJ,Cedar Glen West,2 h 1 min,109 miles
121 Chanlon Road New Providence NJ,Cedarville,2 h 25 min,140 miles
117 Seber Road Hackettstown NJ,Cedarville,3 h 10 min,176 miles
121 Chanlon Road New Providence NJ,Chatham,13 min,4.4 miles
117 Seber Road Hackettstown NJ,Chatham,1 h 3 min,45.5 miles
121 Chanlon Road New Providence NJ,Cherry Hill Mall,1 h 36 min,87.8 miles
117 Seber Road Hackettstown NJ,Cherry Hill Mall,2 h 1 min,95.6 miles
121 Chanlon Road New Providence NJ,Chesilhurst,2 h 2 min,99.6 miles
117 Seber Road Hackettstown NJ,Chesilhurst,2 h 34 min,102 miles
121 Chanlon Road New Providence NJ,Chester,42 min,20.6 miles
117 Seber Road Hackettstown NJ,Chester,25 min,11.6 miles
121 Chanlon Road New Providence NJ,Clayton,2 h 9 min,112 miles
117 Seber Road Hackettstown NJ,Clayton,2 h 43 min,148 miles
121 Chanlon Road New Providence NJ,Clearbrook Park,1 h 3 min,39.1 miles
117 Seber Road Hackettstown NJ,Clearbrook Park,1 h 36 min,68.0 miles
121 Chanlon Road New Providence NJ,Clementon,1 h 56 min,94.6 miles
117 Seber Road Hackettstown NJ,Clementon,2 h 23 min,102 miles
121 Chanlon Road New Providence NJ,Cliffside Park,49 min,32.2 miles
117 Seber Road Hackettstown NJ,Cliffside Park,1 h 29 min,67.1 miles
121 Chanlon Road New Providence NJ,Cliffwood Beach,54 min,29.9 miles
117 Seber Road Hackettstown NJ,Cliffwood Beach,1 h 23 min,71.8 miles
121 Chanlon Road New Providence NJ,Clifton,44 min,28.3 miles
117 Seber Road Hackettstown NJ,Clifton,1 h 26 min,61.0 miles
121 Chanlon Road New Providence NJ,Clinton,32 min,30.3 miles
117 Seber Road Hackettstown NJ,Clinton,38 min,19.4 miles
121 Chanlon Road New Providence NJ,Closter,1 h 3 min,45.2 miles
117 Seber Road Hackettstown NJ,Closter,1 h 43 min,72.1 miles
121 Chanlon Road New Providence NJ,Clyde,43 min,20.2 miles
117 Seber Road Hackettstown NJ,Clyde,1 h 4 min,43.1 miles
121 Chanlon Road New Providence NJ,Collings Lakes,2 h 18 min,110 miles
117 Seber Road Hackettstown NJ,Collings Lakes,2 h 52 min,145 miles
121 Chanlon Road New Providence NJ,Collingswood,1 h 45 min,91.3 miles
117 Seber Road Hackettstown NJ,Collingswood,2 h 8 min,99.1 miles
121 Chanlon Road New Providence NJ,Colonia,36 min,15.8 miles
117 Seber Road Hackettstown NJ,Colonia,1 h 14 min,49.8 miles
121 Chanlon Road New Providence NJ,Columbia,1 h 8 min,57.5 miles
117 Seber Road Hackettstown NJ,Columbia,32 min,22.4 miles
121 Chanlon Road New Providence NJ,Concordia,1 h 3 min,39.1 miles
117 Seber Road Hackettstown NJ,Concordia,1 h 36 min,68.0 miles
121 Chanlon Road New Providence NJ,Corbin City,2 h 23 min,124 miles
117 Seber Road Hackettstown NJ,Corbin City,3 h 8 min,139 miles
121 Chanlon Road New Providence NJ,Country Lake Estates,1 h 43 min,84.1 miles
117 Seber Road Hackettstown NJ,Country Lake Estates,2 h 7 min,91.8 miles
121 Chanlon Road New Providence NJ,Cranbury,1 h 8 min,45.7 miles
117 Seber Road Hackettstown NJ,Cranbury,1 h 43 min,67.8 miles
121 Chanlon Road New Providence NJ,Crandon Lakes,1 h 24 min,57.2 miles
117 Seber Road Hackettstown NJ,Crandon Lakes,44 min,25.8 miles
121 Chanlon Road New Providence NJ,Cresskill,1 h 1 min,38.0 miles
117 Seber Road Hackettstown NJ,Cresskill,1 h 39 min,73.2 miles
121 Chanlon Road New Providence NJ,Crestwood Village,1 h 38 min,76.7 miles
117 Seber Road Hackettstown NJ,Crestwood Village,2 h 9 min,119 miles
121 Chanlon Road New Providence NJ,Dayton,58 min,41.1 miles
117 Seber Road Hackettstown NJ,Dayton,1 h 21 min,51.4 miles
121 Chanlon Road New Providence NJ,Deal,1 h 18 min,49.8 miles
117 Seber Road Hackettstown NJ,Deal,1 h 47 min,91.7 miles
121 Chanlon Road New Providence NJ,Delaware,1 h 9 min,59.4 miles
117 Seber Road Hackettstown NJ,Delaware,30 min,18.0 miles
121 Chanlon Road New Providence NJ,Delaware Park,51 min,46.3 miles
117 Seber Road Hackettstown NJ,Delaware Park,46 min,26.8 miles
121 Chanlon Road New Providence NJ,Demarest,1 h 5 min,39.4 miles
117 Seber Road Hackettstown NJ,Demarest,1 h 39 min,71.5 miles
121 Chanlon Road New Providence NJ,Diamond Beach,3 h 25 min,175 miles
117 Seber Road Hackettstown NJ,Diamond Beach,3 h 32 min,173 miles
121 Chanlon Road New Providence NJ,Dover,41 min,24.3 miles
117 Seber Road Hackettstown NJ,Dover,30 min,20.0 miles
121 Chanlon Road New Providence NJ,Dover Beaches North,1 h 35 min,64.6 miles
117 Seber Road Hackettstown NJ,Dover Beaches North,2 h 4 min,107 miles
121 Chanlon Road New Providence NJ,Dover Beaches South,1 h 37 min,66.6 miles
117 Seber Road Hackettstown NJ,Dover Beaches South,2 h 6 min,109 miles
121 Chanlon Road New Providence NJ,Dumont,56 min,37.3 miles
117 Seber Road Hackettstown NJ,Dumont,1 h 32 min,68.2 miles
121 Chanlon Road New Providence NJ,Dunellen,25 min,14.4 miles
117 Seber Road Hackettstown NJ,Dunellen,53 min,35.7 miles
121 Chanlon Road New Providence NJ,East Franklin,43 min,20.0 miles
117 Seber Road Hackettstown NJ,East Franklin,1 h 2 min,42.8 miles
121 Chanlon Road New Providence NJ,East Freehold,1 h 9 min,38.5 miles
117 Seber Road Hackettstown NJ,East Freehold,1 h 35 min,57.1 miles
121 Chanlon Road New Providence NJ,East Millstone,41 min,28.6 miles
117 Seber Road Hackettstown NJ,East Millstone,56 min,35.9 miles
121 Chanlon Road New Providence NJ,East Newark,33 min,17.7 miles
117 Seber Road Hackettstown NJ,East Newark,1 h 21 min,52.4 miles
121 Chanlon Road New Providence NJ,East Orange,35 min,15.5 miles
117 Seber Road Hackettstown NJ,East Orange,1 h 17 min,51.0 miles
121 Chanlon Road New Providence NJ,East Rocky Hill,56 min,29.6 miles
117 Seber Road Hackettstown NJ,East Rocky Hill,1 h 15 min,42.1 miles
121 Chanlon Road New Providence NJ,East Rutherford,43 min,29.5 miles
117 Seber Road Hackettstown NJ,East Rutherford,1 h 26 min,63.6 miles
121 Chanlon Road New Providence NJ,Eatontown,1 h 4 min,40.7 miles
117 Seber Road Hackettstown NJ,Eatontown,1 h 35 min,86.3 miles
121 Chanlon Road New Providence NJ,Echelon,1 h 50 min,91.9 miles
117 Seber Road Hackettstown NJ,Echelon,2 h 12 min,99.6 miles
121 Chanlon Road New Providence NJ,Edgewater,44 min,32.6 miles
117 Seber Road Hackettstown NJ,Edgewater,1 h 31 min,67.7 miles
121 Chanlon Road New Providence NJ,Egg Harbor City,2 h 3 min,109 miles
117 Seber Road Hackettstown NJ,Egg Harbor City,2 h 41 min,113 miles
121 Chanlon Road New Providence NJ,Elizabeth,32 min,22.0 miles
117 Seber Road Hackettstown NJ,Elizabeth,1 h 13 min,53.4 miles
121 Chanlon Road New Providence NJ,Ellisburg,1 h 41 min,78.1 miles
117 Seber Road Hackettstown NJ,Ellisburg,2 h 6 min,95.7 miles
121 Chanlon Road New Providence NJ,Elmer,2 h 20 min,117 miles
117 Seber Road Hackettstown NJ,Elmer,2 h 53 min,152 miles
121 Chanlon Road New Providence NJ,Elmwood Park,48 min,32.9 miles
117 Seber Road Hackettstown NJ,Elmwood Park,1 h 19 min,59.2 miles
121 Chanlon Road New Providence NJ,Elwood,2 h 26 min,103 miles
117 Seber Road Hackettstown NJ,Elwood,2 h 42 min,141 miles
121 Chanlon Road New Providence NJ,Emerson,57 min,43.9 miles
117 Seber Road Hackettstown NJ,Emerson,1 h 33 min,68.5 miles
121 Chanlon Road New Providence NJ,Englewood,52 min,37.2 miles
117 Seber Road Hackettstown NJ,Englewood,1 h 29 min,68.8 miles
121 Chanlon Road New Providence NJ,Englewood Cliffs,56 min,35.1 miles
117 Seber Road Hackettstown NJ,Englewood Cliffs,1 h 31 min,70.2 miles
121 Chanlon Road New Providence NJ,Englishtown,1 h 9 min,49.7 miles
117 Seber Road Hackettstown NJ,Englishtown,1 h 41 min,79.9 miles
121 Chanlon Road New Providence NJ,Erma,3 h 25 min,170 miles
117 Seber Road Hackettstown NJ,Erma,3 h 31 min,168 miles
121 Chanlon Road New Providence NJ,Essex Fells,35 min,13.5 miles
117 Seber Road Hackettstown NJ,Essex Fells,1 h 12 min,50.6 miles
121 Chanlon Road New Providence NJ,Estell Manor,2 h 29 min,118 miles
117 Seber Road Hackettstown NJ,Estell Manor,3 h 1 min,131 miles
121 Chanlon Road New Providence NJ,Fair Haven,1 h 10 min,38.9 miles
117 Seber Road Hackettstown NJ,Fair Haven,1 h 44 min,84.5 miles
121 Chanlon Road New Providence NJ,Fair Lawn,56 min,40.0 miles
117 Seber Road Hackettstown NJ,Fair Lawn,1 h 13 min,58.0 miles
121 Chanlon Road New Providence NJ,Fairton,2 h 29 min,137 miles
117 Seber Road Hackettstown NJ,Fairton,3 h 17 min,174 miles
121 Chanlon Road New Providence NJ,Fairview,46 min,32.7 miles
117 Seber Road Hackettstown NJ,Fairview,1 h 32 min,64.6 miles
121 Chanlon Road New Providence NJ,Fairview CDP,,
117 Seber Road Hackettstown NJ,Fairview CDP,,
121 Chanlon Road New Providence NJ,Fanwood,16 min,4.9 miles
117 Seber Road Hackettstown NJ,Fanwood,1 h 8 min,52.7 miles
121 Chanlon Road New Providence NJ,Far Hills,26 min,16.9 miles
117 Seber Road Hackettstown NJ,Far Hills,41 min,21.7 miles
121 Chanlon Road New Providence NJ,Farmingdale,1 h 17 min,51.5 miles
117 Seber Road Hackettstown NJ,Farmingdale,1 h 45 min,93.4 miles
121 Chanlon Road New Providence NJ,Fieldsboro,1 h 19 min,69.4 miles
117 Seber Road Hackettstown NJ,Fieldsboro,1 h 41 min,73.5 miles
121 Chanlon Road New Providence NJ,Finderne,33 min,15.5 miles
117 Seber Road Hackettstown NJ,Finderne,49 min,31.9 miles
121 Chanlon Road New Providence NJ,Finesville,1 h 2 min,47.8 miles
117 Seber Road Hackettstown NJ,Finesville,53 min,30.4 miles
121 Chanlon Road New Providence NJ,Flemington,49 min,39.8 miles
117 Seber Road Hackettstown NJ,Flemington,54 min,29.9 miles
121 Chanlon Road New Providence NJ,Florence,1 h 25 min,62.6 miles
117 Seber Road Hackettstown NJ,Florence,1 h 48 min,80.2 miles
121 Chanlon Road New Providence NJ,Florham Park,23 min,11.3 miles
117 Seber Road Hackettstown NJ,Florham Park,1 h 9 min,45.6 miles
121 Chanlon Road New Providence NJ,Folsom,2 h 13 min,103 miles
117 Seber Road Hackettstown NJ,Folsom,2 h 46 min,113 miles
121 Chanlon Road New Providence NJ,Fords,52 min,32.0 miles
117 Seber Road Hackettstown NJ,Fords,1 h 16 min,62.2 miles
121 Chanlon Road New Providence NJ,Forked River,1 h 41 min,76.1 miles
117 Seber Road Hackettstown NJ,Forked River,2 h 10 min,118 miles
121 Chanlon Road New Providence NJ,Fort Dix,1 h 35 min,76.9 miles
117 Seber Road Hackettstown NJ,Fort Dix,1 h 55 min,81.4 miles
121 Chanlon Road New Providence NJ,Fort Lee,53 min,38.0 miles
117 Seber Road Hackettstown NJ,Fort Lee,1 h 31 min,68.9 miles
121 Chanlon Road New Providence NJ,Franklin,1 h 10 min,47.0 miles
117 Seber Road Hackettstown NJ,Franklin,47 min,26.8 miles
121 Chanlon Road New Providence NJ,Franklin Center,36 min,16.0 miles
117 Seber Road Hackettstown NJ,Franklin Center,55 min,35.0 miles
121 Chanlon Road New Providence NJ,Franklin Lakes,49 min,35.3 miles
117 Seber Road Hackettstown NJ,Franklin Lakes,1 h 6 min,51.9 miles
121 Chanlon Road New Providence NJ,Franklin Park,52 min,24.7 miles
117 Seber Road Hackettstown NJ,Franklin Park,1 h 16 min,47.7 miles
121 Chanlon Road New Providence NJ,Freehold,1 h 15 min,39.9 miles
117 Seber Road Hackettstown NJ,Freehold,1 h 46 min,81.8 miles
121 Chanlon Road New Providence NJ,Frenchtown,1 h 2 min,44.9 miles
117 Seber Road Hackettstown NJ,Frenchtown,56 min,32.2 miles
121 Chanlon Road New Providence NJ,Garfield,50 min,28.0 miles
117 Seber Road Hackettstown NJ,Garfield,1 h 31 min,60.6 miles
121 Chanlon Road New Providence NJ,Garwood,24 min,8.1 miles
117 Seber Road Hackettstown NJ,Garwood,1 h 12 min,53.7 miles
121 Chanlon Road New Providence NJ,Gibbsboro,2 h 2 min,91.6 miles
117 Seber Road Hackettstown NJ,Gibbsboro,2 h 26 min,99.3 miles
121 Chanlon Road New Providence NJ,Gibbstown,2 h 14 min,107 miles
117 Seber Road Hackettstown NJ,Gibbstown,2 h 42 min,119 miles
121 Chanlon Road New Providence NJ,Glassboro,2 h 18 min,110 miles
117 Seber Road Hackettstown NJ,Glassboro,2 h 51 min,145 miles
121 Chanlon Road New Providence NJ,Glen Gardner,57 min,38.9 miles
117 Seber Road Hackettstown NJ,Glen Gardner,33 min,15.7 miles
121 Chanlon Road New Providence NJ,Glen Ridge,44 min,20.0 miles
117 Seber Road Hackettstown NJ,Glen Ridge,1 h 27 min,53.5 miles
121 Chanlon Road New Providence NJ,Glen Rock,54 min,40.3 miles
117 Seber Road Hackettstown NJ,Glen Rock,1 h 29 min,66.6 miles
121 Chanlon Road New Providence NJ,Glendora,1 h 56 min,93.8 miles
117 Seber Road Hackettstown NJ,Glendora,2 h 28 min,92.1 miles
121 Chanlon Road New Providence NJ,Gloucester City,2 h 3 min,95.8 miles
117 Seber Road Hackettstown NJ,Gloucester City,2 h 26 min,103 miles
121 Chanlon Road New Providence NJ,Golden Triangle,1 h 49 min,89.4 miles
117 Seber Road Hackettstown NJ,Golden Triangle,2 h 13 min,97.2 miles
121 Chanlon Road New Providence NJ,Great Meadows,1 h 7 min,46.7 miles
117 Seber Road Hackettstown NJ,Great Meadows,14 min,8.3 miles
121 Chanlon Road New Providence NJ,Green Knoll,27 min,21.2 miles
117 Seber Road Hackettstown NJ,Green Knoll,57 min,40.2 miles
121 Chanlon Road New Providence NJ,Greentree,1 h 48 min,88.6 miles
117 Seber Road Hackettstown NJ,Greentree,2 h 12 min,96.3 miles
121 Chanlon Road New Providence NJ,Greenwich,2 h 23 min,133 miles
117 Seber Road Hackettstown NJ,Greenwich,3 h 23 min,146 miles
121 Chanlon Road New Providence NJ,Griggstown,53 min,26.2 miles
117 Seber Road Hackettstown NJ,Griggstown,1 h 15 min,40.4 miles
121 Chanlon Road New Providence NJ,Groveville,Crash on I-95 S causing 14-min delay,66.7 miles
117 Seber Road Hackettstown NJ,Groveville,1 h 45 min,71.1 miles
121 Chanlon Road New Providence NJ,Guttenberg,59 min,29.4 miles
117 Seber Road Hackettstown NJ,Guttenberg,1 h 34 min,64.0 miles
